"MLE","NBE","MCMC"
0.00671488811665771,0.000742709671612829,0.0113621888688619
0.00635495491004032,0.00245160207850859,0.0108114134127416
0.020242405270939,0.0157569856382906,0.0278174276599282
0.0207685586565904,0.0168687161058187,0.0287869365426021
0.0226376592222638,0.0200837086886168,0.0305147113272664
0.0715105902900727,0.0572192650288343,0.0807585385169169
0.00596251308934011,0.000468631929834373,0.0105324708926948
0.00732532263123496,0.000301979889627546,0.0123367470586178
0.0141142553613312,0.00576285272836685,0.0209180983138607
0.147681181456841,0.126233018934727,0.157772922496783
0.0247767714522626,0.0207300828769803,0.0337111609141883
0.14488184445802,0.118332106620073,0.154581250331759
0.00797319125218612,0.00287553726229817,0.0127467415328736
1.20928501473787,1.16981315612793,1.00629045581575
0.157120220911158,0.0856670252978802,0.165764722426372
1.27231460365572,1.23542499542236,1.05389741195577
0.0114279021539103,0.00321390270255506,0.0176326120771039
0.0400890536189727,0.0247737858444452,0.0489154410529239
0.0125292740399744,0.00472089159302413,0.0187276525751617
0.00011198101083157,5.2918237975618e-25,0.000657569542430862
1.31333962458157,1.26550507545471,1.07776361267586
0.0013969878663167,1.59977741276407e-07,0.00360398406545701
0.0110797108518824,0.00569307478144765,0.0164277361605248
1.24712196312297,1.21352219581604,1.02160180483974
0.0159089819575583,0.00954101700335741,0.0224182969003348
0.00494430199887579,0.000598261278355494,0.00875150319521931
0.00315628636681099,0.000100083751021884,0.00609665249064743
0.00126890266511868,2.50156549697067e-07,0.00318217136931195
0.442627364262201,0.358873069286346,0.413986472505258
0.0485296425046972,0.0395533014088869,0.0577384412815357
0.0148492267241201,0.011208429466933,0.0211578457265417
0.0193073472776509,0.00401306094136089,0.0273560438536238
0.00257672207559208,4.94423636610009e-06,0.00549811402237608
0.000171522021798734,3.68310012424513e-20,0.000886699312579122
0.561090189876034,0.467261463403702,0.511778083974754
0.011971926663979,0.00160027685342357,0.0183351148372454
0.00809067266011054,0.0032465549884364,0.0132331501615448
0.010360902209114,0.00215561676304787,0.0159892868767092
0.0201053614381193,0.0194336958229542,0.0283316202096054
1.98597493018305e-06,0,6.6890307321205e-05
0.162516573686351,0.130373202264309,0.169432385619328
0.00465893197958538,0.000115078295493731,0.00867823609884919
0.224325967802381,0.188988670706749,0.230172144307305
0.00349806658598468,3.85915918741375e-05,0.00719022680410732
0.00162943075083359,4.7461892904721e-07,0.00387530504726378
